id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
opendatacommunities-households-projections-population,https://lod-cloud.net/dataset/opendatacommunities-households-projections-population,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
2000-us-census-rdf,https://lod-cloud.net/dataset/2000-us-census-rdf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatascotland-simd-income-rank,https://lod-cloud.net/dataset/opendatascotland-simd-income-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
AISHE,https://lod-cloud.net/dataset/AISHE,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-imd-environment-rank-2010,https://lod-cloud.net/dataset/opendatacommunities-imd-environment-rank-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
zaragoza_turruta,https://lod-cloud.net/dataset/zaragoza_turruta,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
zaragoza-datosabiertos,https://lod-cloud.net/dataset/zaragoza-datosabiertos,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-nuts,https://lod-cloud.net/dataset/linked-nuts,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
hellenic-police,https://lod-cloud.net/dataset/hellenic-police,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
diavgeia,https://lod-cloud.net/dataset/diavgeia,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
enakting-crime,https://lod-cloud.net/dataset/enakting-crime,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
kallikratis-municipalities,https://lod-cloud.net/dataset/kallikratis-municipalities,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
linked-eurostat,https://lod-cloud.net/dataset/linked-eurostat,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-societal-wellbeing-deprivation-imd-rank-2007,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-rank-2007,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
eea-rod,https://lod-cloud.net/dataset/eea-rod,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
ecb-statistics-linked-data,https://lod-cloud.net/dataset/ecb-statistics-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
eionet-rdf,https://lod-cloud.net/dataset/eionet-rdf,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
clean-energy-data-reegle,https://lod-cloud.net/dataset/clean-energy-data-reegle,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-imd-income-rank-la-2010,https://lod-cloud.net/dataset/opendatacommunities-imd-income-rank-la-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-income-rank-la-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-income-rank-la-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
FADN_(2019),https://lod-cloud.net/dataset/FADN_(2019),2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-wellbeing-happy-yesterday-standard-deviation,https://lod-cloud.net/dataset/opendatacommunities-wellbeing-happy-yesterday-standard-deviation,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
openlylocal,https://lod-cloud.net/dataset/openlylocal,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opencorporates,https://lod-cloud.net/dataset/opencorporates,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
esd-toolkit,https://lod-cloud.net/dataset/esd-toolkit,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
aragodbpedia,https://lod-cloud.net/dataset/aragodbpedia,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ei2a,https://lod-cloud.net/dataset/ei2a,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
n-lex-as-linked-data,https://lod-cloud.net/dataset/n-lex-as-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
unodc,https://lod-cloud.net/dataset/unodc,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatascotland-graph-education-pupils-by-school-and-datazone,https://lod-cloud.net/dataset/opendatascotland-graph-education-pupils-by-school-and-datazone,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
renewable_energy_generators,https://lod-cloud.net/dataset/renewable_energy_generators,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
courts-thesaurus,https://lod-cloud.net/dataset/courts-thesaurus,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-imd-score-2010,https://lod-cloud.net/dataset/opendatacommunities-imd-score-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-score-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-score-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-vavai-evaluation-2013,https://lod-cloud.net/dataset/cz-vavai-evaluation-2013,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-vavai-results,https://lod-cloud.net/dataset/cz-vavai-results,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-societal-wellbeing-deprivation-imd-health-score-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-health-score-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-czso-demography-in-regions-czech-republic-age-categories,https://lod-cloud.net/dataset/cz-czso-demography-in-regions-czech-republic-age-categories,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cht,https://lod-cloud.net/dataset/cht,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lichfield-spending,https://lod-cloud.net/dataset/lichfield-spending,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
eprtr,https://lod-cloud.net/dataset/eprtr,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
world-factbook-fu-berlin,https://lod-cloud.net/dataset/world-factbook-fu-berlin,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-edgar,https://lod-cloud.net/dataset/linked-edgar,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
sec-rdfabout,https://lod-cloud.net/dataset/sec-rdfabout,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
European_Patent_Information,https://lod-cloud.net/dataset/European_Patent_Information,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
CPC,https://lod-cloud.net/dataset/CPC,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-vavai-projects,https://lod-cloud.net/dataset/cz-vavai-projects,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-vavai-organizations,https://lod-cloud.net/dataset/cz-vavai-organizations,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-vavai-programmes,https://lod-cloud.net/dataset/cz-vavai-programmes,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-vavai-tenders,https://lod-cloud.net/dataset/cz-vavai-tenders,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-input-indicators-local-authority-funding-from-government-grant,https://lod-cloud.net/dataset/opendatacommunities-input-indicators-local-authority-funding-from-government-grant,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-impact-indicators-housing-starts,https://lod-cloud.net/dataset/opendatacommunities-impact-indicators-housing-starts,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-transparency-impact-indicators-housing-starts,https://lod-cloud.net/dataset/opendatacommunities-transparency-impact-indicators-housing-starts,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-orders,https://lod-cloud.net/dataset/cz-orders,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-souhrnne-typy-ovm,https://lod-cloud.net/dataset/cz-souhrnne-typy-ovm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
agrinepaldata,https://lod-cloud.net/dataset/agrinepaldata,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
finnish-municipalities,https://lod-cloud.net/dataset/finnish-municipalities,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-service-expenditure,https://lod-cloud.net/dataset/opendatacommunities-service-expenditure,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
eu-institutions,https://lod-cloud.net/dataset/eu-institutions,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-ctia-bans,https://lod-cloud.net/dataset/cz-ctia-bans,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatascotland-simd-employment-rank,https://lod-cloud.net/dataset/opendatascotland-simd-employment-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
english-index-of-multiple-deprivation-score-2010,https://lod-cloud.net/dataset/english-index-of-multiple-deprivation-score-2010,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
eurobarometer-standard,https://lod-cloud.net/dataset/eurobarometer-standard,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cablegate,https://lod-cloud.net/dataset/cablegate,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
biographical-directory-of-the-united-states-congress,https://lod-cloud.net/dataset/biographical-directory-of-the-united-states-congress,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-transparency-impact-indicators-neighbourhood-plans,https://lod-cloud.net/dataset/opendatacommunities-transparency-impact-indicators-neighbourhood-plans,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
eu-parliament-media,https://lod-cloud.net/dataset/eu-parliament-media,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
eu-who-is-who,https://lod-cloud.net/dataset/eu-who-is-who,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-czso-deaths-by-selected-causes-of-death,https://lod-cloud.net/dataset/cz-czso-deaths-by-selected-causes-of-death,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
iati-as-linked-data,https://lod-cloud.net/dataset/iati-as-linked-data,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-impact-indicators-affordable-housing-starts,https://lod-cloud.net/dataset/opendatacommunities-impact-indicators-affordable-housing-starts,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatascotland-simd-geographic-access-rank,https://lod-cloud.net/dataset/opendatascotland-simd-geographic-access-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
datos-bcn-cl,https://lod-cloud.net/dataset/datos-bcn-cl,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
patents-data-gov-uk,https://lod-cloud.net/dataset/patents-data-gov-uk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-vavai-funding-providers,https://lod-cloud.net/dataset/cz-vavai-funding-providers,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ceo,https://lod-cloud.net/dataset/ceo,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
data-incubator-nasa,https://lod-cloud.net/dataset/data-incubator-nasa,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-societal-wellbeing-deprivation-imd-housing-rank-la-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-housing-rank-la-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
congresspeople,https://lod-cloud.net/dataset/congresspeople,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
frb-linked-data,https://lod-cloud.net/dataset/frb-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
oecd-linked-data,https://lod-cloud.net/dataset/oecd-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
uis-linked-data,https://lod-cloud.net/dataset/uis-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-net-additional-dwellings,https://lod-cloud.net/dataset/opendatacommunities-net-additional-dwellings,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
hellenic-fire-brigade,https://lod-cloud.net/dataset/hellenic-fire-brigade,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
semantic-xbrl,https://lod-cloud.net/dataset/semantic-xbrl,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-czso-average-salaries,https://lod-cloud.net/dataset/cz-czso-average-salaries,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatascotland-simd-housing-rank,https://lod-cloud.net/dataset/opendatascotland-simd-housing-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-transparency-input-indicators-local-authorities-working-with-troubled-families,https://lod-cloud.net/dataset/opendatacommunities-transparency-input-indicators-local-authorities-working-with-troubled-families,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-employment-rank-la-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-employment-rank-la-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-health-rank-la-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-health-rank-la-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
twc-logd,https://lod-cloud.net/dataset/twc-logd,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-households-social-lettings-general-needs-lettings-prp-household-composition,https://lod-cloud.net/dataset/opendatacommunities-households-social-lettings-general-needs-lettings-prp-household-composition,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
eumida-linked-data,https://lod-cloud.net/dataset/eumida-linked-data,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
asn-us,https://lod-cloud.net/dataset/asn-us,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-sao-check-actions,https://lod-cloud.net/dataset/cz-sao-check-actions,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-households-social-lettings-general-needs-lettings-prp-number-bedrooms,https://lod-cloud.net/dataset/opendatacommunities-households-social-lettings-general-needs-lettings-prp-number-bedrooms,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-imd-crime-rank-2010,https://lod-cloud.net/dataset/opendatacommunities-imd-crime-rank-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-ares-rzp,https://lod-cloud.net/dataset/cz-ares-rzp,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
cz-sao-check-actions-law,https://lod-cloud.net/dataset/cz-sao-check-actions-law,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
traffic-scotland,https://lod-cloud.net/dataset/traffic-scotland,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rkb-explorer-cordis,https://lod-cloud.net/dataset/rkb-explorer-cordis,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
data-cnr-it,https://lod-cloud.net/dataset/data-cnr-it,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
eurovoc,https://lod-cloud.net/dataset/eurovoc,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
business-data-gov-uk,https://lod-cloud.net/dataset/business-data-gov-uk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
abs-linked-data,https://lod-cloud.net/dataset/abs-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
bis-linked-data,https://lod-cloud.net/dataset/bis-linked-data,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatascotland-simd-education-rank,https://lod-cloud.net/dataset/opendatascotland-simd-education-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-ctia-sanctions,https://lod-cloud.net/dataset/cz-ctia-sanctions,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rechtspraak,https://lod-cloud.net/dataset/rechtspraak,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
nomenclator-asturias,https://lod-cloud.net/dataset/nomenclator-asturias,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-czso-job-applicants,https://lod-cloud.net/dataset/cz-czso-job-applicants,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-czso-social-service-facilities,https://lod-cloud.net/dataset/cz-czso-social-service-facilities,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-fulfillments,https://lod-cloud.net/dataset/cz-fulfillments,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-impact-indicators-planning-applications-granted,https://lod-cloud.net/dataset/opendatacommunities-impact-indicators-planning-applications-granted,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
istat-immigration,https://lod-cloud.net/dataset/istat-immigration,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-vavai-research-plans,https://lod-cloud.net/dataset/cz-vavai-research-plans,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-housing-market,https://lod-cloud.net/dataset/opendatacommunities-housing-market,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
corporate-body,https://lod-cloud.net/dataset/corporate-body,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cz-czso-selected-indicators-of-public-health,https://lod-cloud.net/dataset/cz-czso-selected-indicators-of-public-health,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
opendatacommunities-households-accommodated-per-1000,https://lod-cloud.net/dataset/opendatacommunities-households-accommodated-per-1000,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
opendatacommunities-societal-wellbeing-deprivation-imd-education-rank-la-2010,https://lod-cloud.net/dataset/opendatacommunities-societal-wellbeing-deprivation-imd-education-rank-la-2010,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
cz-contracts,https://lod-cloud.net/dataset/cz-contracts,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatacommunities-households-2008,https://lod-cloud.net/dataset/opendatacommunities-households-2008,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
fu-berlin-cordis,https://lod-cloud.net/dataset/fu-berlin-cordis,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
linked-stockindex,https://lod-cloud.net/dataset/linked-stockindex,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
opendatascotland-graph-simd-rank,https://lod-cloud.net/dataset/opendatascotland-graph-simd-rank,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-nmr,https://lod-cloud.net/dataset/bioportal-nmr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-acgt,https://lod-cloud.net/dataset/bioportal-acgt,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-aero,https://lod-cloud.net/dataset/bioportal-aero,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-bao,https://lod-cloud.net/dataset/bioportal-bao,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-bdo,https://lod-cloud.net/dataset/bioportal-bdo,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-bfo,https://lod-cloud.net/dataset/bioportal-bfo,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-birnlex,https://lod-cloud.net/dataset/bioportal-birnlex,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-canco,https://lod-cloud.net/dataset/bioportal-canco,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-cao,https://lod-cloud.net/dataset/bioportal-cao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-cheminf,https://lod-cloud.net/dataset/bioportal-cheminf,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-clo,https://lod-cloud.net/dataset/bioportal-clo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-cogpo,https://lod-cloud.net/dataset/bioportal-cogpo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ddi,https://lod-cloud.net/dataset/bioportal-ddi,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ecg,https://lod-cloud.net/dataset/bioportal-ecg,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ero,https://lod-cloud.net/dataset/bioportal-ero,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-flu,https://lod-cloud.net/dataset/bioportal-flu,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-hpio,https://lod-cloud.net/dataset/bioportal-hpio,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-iao,https://lod-cloud.net/dataset/bioportal-iao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ido,https://lod-cloud.net/dataset/bioportal-ido,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-idobru,https://lod-cloud.net/dataset/bioportal-idobru,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-idomal,https://lod-cloud.net/dataset/bioportal-idomal,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ino,https://lod-cloud.net/dataset/bioportal-ino,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-lnc,https://lod-cloud.net/dataset/bioportal-lnc,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-mf,https://lod-cloud.net/dataset/bioportal-mf,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-mfoem,https://lod-cloud.net/dataset/bioportal-mfoem,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-miro,https://lod-cloud.net/dataset/bioportal-miro,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ncit,https://lod-cloud.net/dataset/bioportal-ncit,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-nemo_x1,https://lod-cloud.net/dataset/bioportal-nemo_x1,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-nif,https://lod-cloud.net/dataset/bioportal-nif,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-nif_cell,https://lod-cloud.net/dataset/bioportal-nif_cell,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-nif_dysfunction,https://lod-cloud.net/dataset/bioportal-nif_dysfunction,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-npo,https://lod-cloud.net/dataset/bioportal-npo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-oae,https://lod-cloud.net/dataset/bioportal-oae,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-obi,https://lod-cloud.net/dataset/bioportal-obi,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-odgi,https://lod-cloud.net/dataset/bioportal-odgi,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ogi,https://lod-cloud.net/dataset/bioportal-ogi,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ogms,https://lod-cloud.net/dataset/bioportal-ogms,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-omrse,https://lod-cloud.net/dataset/bioportal-omrse,2,1,2,2,2,0,2,2,0,0,2,2,7,2,4,4,17
bioportal-ontodm,https://lod-cloud.net/dataset/bioportal-ontodm,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-opl,https://lod-cloud.net/dataset/bioportal-opl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-rcd,https://lod-cloud.net/dataset/bioportal-rcd,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-rid,https://lod-cloud.net/dataset/bioportal-rid,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-rnao,https://lod-cloud.net/dataset/bioportal-rnao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sao,https://lod-cloud.net/dataset/bioportal-sao,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sdo,https://lod-cloud.net/dataset/bioportal-sdo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sio,https://lod-cloud.net/dataset/bioportal-sio,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-snomedct,https://lod-cloud.net/dataset/bioportal-snomedct,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-sopharm,https://lod-cloud.net/dataset/bioportal-sopharm,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-teo,https://lod-cloud.net/dataset/bioportal-teo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-tmo,https://lod-cloud.net/dataset/bioportal-tmo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-vo,https://lod-cloud.net/dataset/bioportal-vo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-dc_cl,https://lod-cloud.net/dataset/bioportal-dc_cl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-bto,https://lod-cloud.net/dataset/bioportal-bto,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-cco,https://lod-cloud.net/dataset/bioportal-cco,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-cl,https://lod-cloud.net/dataset/bioportal-cl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-csp,https://lod-cloud.net/dataset/bioportal-csp,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-efo,https://lod-cloud.net/dataset/bioportal-efo,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ev,https://lod-cloud.net/dataset/bioportal-ev,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-imr,https://lod-cloud.net/dataset/bioportal-imr,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-ma,https://lod-cloud.net/dataset/bioportal-ma,2,1,2,2,2,0,2,2,2,0,2,2,7,2,6,4,19
bioportal-mccl_x1,https://lod-cloud.net/dataset/bioportal-mccl_x1,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-mesh-owl,https://lod-cloud.net/dataset/bioportal-mesh-owl,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-msh,https://lod-cloud.net/dataset/bioportal-msh,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
bioportal-omim,https://lod-cloud.net/dataset/bioportal-omim,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
